gene_id	condition	expression_value	num_samples	source
AT1G01010	cold	6.0498	12	E-GEOD-63406
AT1G01010	normal	5.5597	6	E-GEOD-63406
AT1G01020	cold	5.9887	12	E-GEOD-63406
AT1G01020	normal	5.6098	6	E-GEOD-63406
AT1G01030	cold	3.8497	12	E-GEOD-63406
AT1G01030	normal	4.1430	6	E-GEOD-63406
AT1G01040	cold	8.6920	12	E-GEOD-63406
AT1G01040	normal	8.1531	6	E-GEOD-63406
AT1G01046	cold	0.8074	12	E-GEOD-63406
AT1G01046	normal	0.4150	6	E-GEOD-63406
AT1G01050	cold	7.1284	12	E-GEOD-63406
AT1G01050	normal	6.8476	6	E-GEOD-63406
AT1G01060	cold	9.6912	12	E-GEOD-63406
AT1G01060	normal	8.9420	6	E-GEOD-63406
AT1G01070	cold	5.1766	12	E-GEOD-63406
AT1G01070	normal	5.1361	6	E-GEOD-63406
AT1G01080	cold	8.4357	12	E-GEOD-63406
AT1G01080	normal	8.5673	6	E-GEOD-63406
AT1G01090	cold	10.6624	12	E-GEOD-63406
AT1G01090	normal	10.1423	6	E-GEOD-63406
AT1G01100	cold	11.9956	12	E-GEOD-63406
AT1G01100	normal	11.3689	6	E-GEOD-63406
AT1G01110	cold	6.3339	12	E-GEOD-63406
AT1G01110	normal	5.8662	6	E-GEOD-63406
AT1G01120	cold	9.2005	12	E-GEOD-63406
AT1G01120	normal	8.2038	6	E-GEOD-63406
AT1G01130	cold	5.8455	12	E-GEOD-63406
AT1G01130	normal	4.1565	6	E-GEOD-63406
AT1G01140	cold	8.8204	12	E-GEOD-63406
AT1G01140	normal	8.2738	6	E-GEOD-63406
AT1G01150	cold	1.0589	12	E-GEOD-63406
AT1G01150	normal	0.2224	6	E-GEOD-63406
AT1G01160	cold	8.0679	12	E-GEOD-63406
AT1G01160	normal	7.3546	6	E-GEOD-63406
AT1G01170	cold	6.0998	12	E-GEOD-63406
AT1G01170	normal	6.3779	6	E-GEOD-63406
AT1G01180	cold	6.3384	12	E-GEOD-63406
AT1G01180	normal	6.8009	6	E-GEOD-63406
AT1G01183	cold	0.2224	12	E-GEOD-63406
AT1G01183	normal	0.2224	6	E-GEOD-63406
AT1G01190	cold	5.4037	12	E-GEOD-63406
AT1G01190	normal	5.0945	6	E-GEOD-63406
AT1G01200	cold	4.3750	12	E-GEOD-63406
AT1G01200	normal	3.5850	6	E-GEOD-63406
AT1G01210	cold	5.5597	12	E-GEOD-63406
AT1G01210	normal	5.1632	6	E-GEOD-63406
